,SubjectEntity,Relation,ObjectEntity
0,MROF-1,hasOrganicLinkers,[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-]
1,MOF-CJ3,hasOrganicLinkers,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]
2,"catena-(octakis(μ6-4,4',4''-s-Triazine-2,4,6-triyltribenzoato)-dodeca-aqua-dodeca-copper dimethylsulfoxide solvate hydrate)|PCN-6|Teaching Subset: MOFs",hasOrganicLinkers,[O-]C(=O)c1ccc(cc1)C1=NC(=[N]=C([N]1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-]
3,NJU-Bai9,hasOrganicLinkers,O=C(c1cncc(c1)C(=O)Nc1ccc(cc1)C(=O)[O-])Nc1ccc(cc1)C(=O)[O-]
4,MOF-1,hasOrganicLinkers,[O-]C(=O)c1cccc(c1)OCc1c(COc2cccc(c2)C(=O)[O-])c(COc2cccc(c2)C(=O)[O-])c(c(c1COc1cccc(c1)C(=O)[O-])COc1cccc(c1)C(=O)[O-])COc1cccc(c1)C(=O)[O-]
5,MOF-2,hasOrganicLinkers,[O-]C(=O)c1cccc(c1)OCc1c(COc2cccc(c2)C(=O)[O-])c(COc2cccc(c2)C(=O)[O-])c(c(c1COc1cccc(c1)C(=O)[O-])COc1cccc(c1)C(=O)[O-])COc1cccc(c1)C(=O)[O-]
6,TCM-9-Ho,hasOrganicLinkers,[O-]C(=O)c1ccc(cc1)C#Cc1cc(C#Cc2ccc(cc2)C(=O)[O-])cc(c1)C#Cc1ccc(cc1)C(=O)[O-]
7,"catena-[(μ8-4,4'-(Hexafluoroisopropylidene)diphthalato)-aqua-di-cadmium(ii) hemihydrate]",hasOrganicLinkers,[O-]C(=O)c1cc(ccc1C(=O)[O-])C(C(F)(F)F)(C(F)(F)F)c1ccc(c(c1)C(=O)[O-])C(=O)[O-]
8,"catena-[bis(μ4-Hydrogen zoledronato)-bis(μ2-1,2-bis(4-pyridyl)ethene)-tri-nickel unknown solvate tetrahydrate]",hasOrganicLinkers,[O]P(=O)(C(P(=O)([O])[O])(Cn1cncc1)O)[O]
9,SNU-50,hasOrganicLinkers,O=C1[C][C]C(=O)N1c1cc(cc(c1)C(=O)[O-])C(=O)[O-]
10,URMOF-4,hasOrganicLinkers,O=C(Nc1ccc(cc1)C(=O)[O-])Nc1cc(NC(=O)Nc2ccc(cc2)C(=O)[O-])cc(c1)NC(=O)Nc1ccc(cc1)C(=O)[O-]
11,URMOF-1,hasOrganicLinkers,O=C(Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-])Nc1cc(NC(=O)Nc2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)NC(=O)Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-]
12,URMOF-2,hasOrganicLinkers,O=C(Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-])Nc1cc(NC(=O)Nc2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)NC(=O)Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-]
13,UMCM-151,hasOrganicLinkers,[O-]C(=O)c1cc(cc(c1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-]
14,UMCM-152,hasOrganicLinkers,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])c1cc(cc(c1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-]
15,UMCM-153,hasOrganicLinkers,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])c1cc(cc(c1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-]
16,UMCM-154,hasOrganicLinkers,[O-]C(=O)c1ccc(cc1)c1cc(cc(c1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-])c1cc(cc(c1)C(=O)[O-])C(=O)[O-]
17,NTU-5,hasOrganicLinkers,[O-]C(=O)c1ccc(cc1)c1ccc(cc1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]
18,NTU-6,hasOrganicLinkers,[O-]C(=O)c1ccc(cc1)c1ccc(cc1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]
19,NTU-7,hasOrganicLinkers,[O-]C(=O)c1ccc(cc1)c1ccc(cc1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]
20,NTU-8,hasOrganicLinkers,[O-]C(=O)c1ccc(cc1)c1ccc(cc1)c1ccc(cc1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]
21,NTU-9,hasOrganicLinkers,[O-]C(=O)c1ccc(cc1)c1ccc(cc1)c1ccc(cc1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]
22,NTU-10,hasOrganicLinkers,[O-]C(=O)c1ccc(cc1)c1ccc(cc1)c1ccc(cc1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]
23,BIF-80,hasOrganicLinkers,[O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-]
24,BUT-21,hasOrganicLinkers,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])c1cc(nc(c1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-]
25,DUT-63,hasOrganicLinkers,[O-]C(=O)c1ccc(cc1)c1ccc(cc1)N(c1ccc(cc1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)c1ccc(cc1)C(=O)[O-]
26,DUT-64,hasOrganicLinkers,[O-]C(=O)c1ccc(cc1)c1ccc(cc1)N(c1ccc(cc1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)c1ccc(cc1)C(=O)[O-]
27,DUT-77,hasOrganicLinkers,[O-]C(=O)c1ccc(cc1)c1cc2c3c(c1)C(C)(C)c1c4N3c3c(C2(C)C)cc(cc3C(c4cc(c1)c1ccc(cc1)C(=O)[O-])(C)C)c1ccc(cc1)C(=O)[O-]
28,JUC-199,hasOrganicLinkers,Nc1c(cc(cc1c1cc(cc(c1)C(=O)[O-])C(=O)[O-])c1cc(c2cc(cc(c2)C(=O)[O-])C(=O)[O-])c(c(c1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-])N)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]
29,MOF-76(Ho),hasOrganicLinkers,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]
30,MOF-76(Tm),hasOrganicLinkers,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]
31,FJI-H12,hasOrganicLinkers,n1ccn(c1)C1=NC(=[N]=C([N]1)n1ccnc1)n1ccnc1
32,TMU-22,hasOrganicLinkers,O=C(c1ccc(cc1)C(=O)Nc1ccncc1)Nc1ccncc1
33,TMU-23,hasOrganicLinkers,O=C(c1ccncc1)Nc1ccc(cc1)NC(=O)c1ccncc1
34,CALF-33-Et2H,hasOrganicLinkers,CCOP(=O)(c1ccc(cc1)c1cc(cc(c1)c1ccc(cc1)P(=O)([O])[O])c1ccc(cc1)P(=O)(OCC)[O])[O]
35,DUT-28(LT),hasOrganicLinkers,[O-]C(=O)c1ccc(cc1)c1cc(cc(c1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-]
36,ZJU-199,hasOrganicLinkers,[O-]C(=O)C=Cc1cc(C=CC(=O)[O-])cc(c1)C=CC(=O)[O-]
37,"catena-((μ3-Pyridine-4-carboxylato-O,O',N)-(μ2-pyridine-4-carboxylato-O,N)-copper(ii) dihydrate clathrate)",hasOrganicLinkers,[O-]C(=O)c1ccncc1
38,"catena-[bis((μ-hydroxo)-(μ-4,4'-[1,3-phenylenebis(methylene)]bis(4H-1,2,4-triazole))-(μ-2,2'-(1,4-phenylene)diacetato)-di-copper) dichromate hexahydrate]",hasOrganicLinkers,[O-]C(=O)Cc1ccc(cc1)CC(=O)[O-]
39,SZ-2,hasOrganicLinkers,[O]P(=O)(c1ccc(cc1)C(c1ccc(cc1)P(=O)([O])[O])(c1ccc(cc1)P(=O)([O])[O])c1ccc(cc1)P(=O)([O])[O])[O]
40,SZ-3,hasOrganicLinkers,F[Zr]12(F)(F)OP(=O)([O])c3ccc(cc3)C34CC5(c6ccc(P(=O)(O2)[O])cc6)CC(c2ccc(P(=O)(O1)[O])cc2)(C3)CC(C4)(C5)c1ccc(cc1)P(=O)([O])[O]
41,UTSA-222,hasOrganicLinkers,[O-]C(=O)COCC(=O)[O-]
42,SNNU-61,hasOrganicLinkers,[O-]C(=O)c1cc(N=Nc2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-]
43,NNU-36,hasOrganicLinkers,[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-]
44,FJU-40-H,hasOrganicLinkers,C1=N[N]C=N1
45,UCY-11,hasOrganicLinkers,[O-]C(=O)c1ccc(cc1)C=Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-]
46,UCY-10,hasOrganicLinkers,[O-]C(=O)c1ccc(cc1)[CH][N]c1cc(cc(c1)C(=O)[O-])C(=O)[O-]
47,UCY-8,hasOrganicLinkers,[O-]C(=O)c1ccc(cc1)C=Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-]
48,UCY-6,hasOrganicLinkers,[O-]C(=O)c1ccc(cc1)[CH][N]c1cc(cc(c1)C(=O)[O-])C(=O)[O-]
49,UCY-5,hasOrganicLinkers,[O-]C(=O)c1ccc(cc1)C=Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-]
50,UCY-4,hasOrganicLinkers,[O-]C(=O)c1ccc(cc1)C=Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-]
51,FJI-H17,hasOrganicLinkers,[O-]C(=O)c1ccc(cc1)c1cc(cc(c1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-]
52,FJI-H18,hasOrganicLinkers,[O-]C(=O)c1ccc(cc1)c1cc(cc(c1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-]
53,bio-MOF-12,hasOrganicLinkers,NC1=C2N=CN=C2[N]C=N1
54,UTSA-62,hasOrganicLinkers,[C]C=C(c1ccc(cc1)C(=O)[O-])[CH]C(=C[C]c1cc(cc(c1)c1cc(cc(c1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-])c1cc(cc(c1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-]
55,FJI-H15,hasOrganicLinkers,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])O[C]1=[N]=[C](=[N]=[C](=[N]=1)Oc1cc(cc(c1)C(=O)[O-])C(=O)[O-])Oc1cc(cc(c1)C(=O)[O-])C(=O)[O-]
56,MOZIF-1,hasOrganicLinkers,O=N(=O)C1=NC=C[N]1
57,UPC-35,hasOrganicLinkers,[O-]C(=O)c1cc(C#Cc2ccc(cc2)C(=O)[O-])cc(c1)C#Cc1ccc(cc1)C(=O)[O-]
58,UTSA-28-Cu,hasOrganicLinkers,[O-]C(=O)c1ccc2c(c1)ccc(c2)c1cc(cc(c1)c1ccc2c(c1)ccc(c2)C(=O)[O-])c1ccc2c(c1)ccc(c2)C(=O)[O-]
59,UTSA-28-Zn,hasOrganicLinkers,[O-]C(=O)c1ccc2c(c1)ccc(c2)c1cc(cc(c1)c1ccc2c(c1)ccc(c2)C(=O)[O-])c1ccc2c(c1)ccc(c2)C(=O)[O-]
60,Cu-PCN-224,hasOrganicLinkers,[O-]C(=O)c1ccc(cc1)C1=C2C=CC3=[N]2[Cu]24n5c1ccc5C(=C1[N]2=C(C=C1)C(=c1n4c(=C3c2ccc(cc2)C(=O)[O-])cc1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-]
61,MMPF-9,hasOrganicLinkers,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])c1ccc(cc1)C1=C2C=CC3=[N]2[Cu]24n5c1ccc5C(=C1[N]2=C(C=C1)C(=c1n4c(=C3c2ccc(cc2)c2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc1)c1ccc(cc1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-])c1ccc(cc1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]
62,HV-MOF-1,hasOrganicLinkers,[O-]C(=O)c1ccnc(c1)c1nccc(c1)C(=O)[O-]
63,"catena-(tris(μ2-Quinato-O,O',O')-triaqua-aluminium(iii)-potassium hydroxide monohydrate)",hasOrganicLinkers,[O]C1C([O])CC(CC1[O])([O])C(=O)[O-]
64,FIR-54,hasOrganicLinkers,c1ncn(c1)c1ccc(cc1)N(c1ccc(cc1)n1cncc1)c1ccc(cc1)n1cncc1
65,"catena-(Sesqui-cadmium(ii) tris(oxonium) octakis(μ6-5,5,10,10,15,15-hexaethyltruxene-2,7,12-tricarboxylato)-tris(μ4-oxo)-dodecakis(methanol)-dodeca-cadmium(ii) hexahydrate)",hasOrganicLinkers,CCC1(CC)c2cc(ccc2-c2c1c1-c3ccc(cc3C(c1c1-c3c(C(c21)(CC)CC)cc(cc3)C(=O)[O-])(CC)CC)C(=O)[O-])C(=O)[O-]
66,"catena-(Lead(ii) tetrakis(oxonium) octakis(μ6-5,5,10,10,15,15-hexaethyltruxene-2,7,12-tricarboxylato)-tris(μ4-oxo)-dodecaaqua-dodeca-lead(ii) hexahydrate)",hasOrganicLinkers,CCC1(CC)c2cc(ccc2-c2c1c1-c3ccc(cc3C(c1c1-c3c(C(c21)(CC)CC)cc(cc3)C(=O)[O-])(CC)CC)C(=O)[O-])C(=O)[O-]
67,"catena-(Sesqui-lead(ii) tris(oxonium) octakis(μ6-5,5,10,10,15,15-hexaethyltruxene-2,7,12-tricarboxylato)-tris(μ4-oxo)-dodeca-lead(ii) hexahydrate)",hasOrganicLinkers,CCC1(CC)c2cc(ccc2-c2c1c1-c3ccc(cc3C(c1c1-c3c(C(c21)(CC)CC)cc(cc3)C(=O)[O-])(CC)CC)C(=O)[O-])C(=O)[O-]
